,caught (TP) (n=212),missed (FN) (n=1373)
frac_shots_locked,0.5825999975204468,0.3643999993801117
frac_shots_medspeed,0.1973000019788742,0.31779998540878296
zcr_dpitch,0.2766999900341034,0.2337000072002411
speed_at_shot_mean,0.40720000863075256,0.6093000173568726
speed_at_shot_std,0.8022000193595886,1.0205999612808228
speed_pre_shot_mean,0.5239999890327454,0.6172000169754028
settle_ratio,0.8165000081062317,0.9965999722480774
speed_max,43.16130065917969,49.510101318359375
blatancy_index,0.7715,0.5637
