,TP (n=52),FN (n=344),FP (n=26),TN (n=1958)
speed_std,0.00267,0.00054,0.00036,-0.00116
speed_median,0.00464,0.00184,-0.00022,0.00017
speed_p90,0.00471,0.00055,0.00077,-0.00036
speed_p99,0.00205,0.00131,0.0006,0.00118
speed_max,0.00458,0.00169,4e-05,-0.00128
speed_iqr,0.01221,-0.00183,-0.00192,-0.00517
frac_still,0.00167,0.00128,0.00075,0.0007
frac_slow,0.00535,0.00128,9e-05,0.0005
frac_med,0.00481,0.00185,-0.00109,0.00033
jerk_absmean,0.0068,0.00053,0.00501,-0.00102
jerk_absstd,0.00469,0.00232,0.00169,0.00108
zcr_dyaw,0.00302,0.0022,-0.00108,0.00125
zcr_dpitch,0.04245,0.00565,0.04288,-0.0047
spec_entropy,0.00081,0.00127,0.00059,0.00062
yaw_speed_mean,0.00221,0.00156,0.00075,0.0013
pitch_speed_mean,0.00525,0.00113,0.00795,0.00049
yaw_pitch_ratio,0.0079,0.00113,0.01265,-0.00048
pitch_abs_mean,0.00052,0.00101,0.00032,0.00053
pitch_abs_std,0.00171,0.00043,0.00021,0.00029
pitch_abs_p95,0.00055,0.00114,0.00037,0.00077
yaw_range_mean,0.00126,0.00164,-0.00021,0.00118
shot_rate,0.00714,0.00149,0.00359,-0.00113
speed_at_shot_mean,0.03357,0.0002,0.02626,-0.00509
speed_at_shot_std,0.00643,-0.00072,0.00575,-0.00368
speed_pre_shot_mean,0.0133,0.00256,0.00996,-0.00065
speed_post_shot_mean,0.00717,0.00163,0.0073,0.00028
settle_ratio,0.02965,0.00068,0.02048,-0.00119
frac_shots_locked,0.13384,0.01274,0.13482,-0.00755
frac_shots_medspeed,0.03561,0.00316,0.0459,-0.00112
prefire_peak_mean,0.00931,0.00434,0.00544,0.00203
overshoot_mean,0.01373,0.00371,0.00599,0.0009
xeng_speed_std,0.00072,0.00068,-3e-05,0.00026
xeng_speed_cv,0.00131,0.0006,0.00148,0.00046
xshot_speed_cv,0.00108,0.0016,0.00569,0.00108
