,legit,cheater
speed_mean,1.1261351,1.1271124
speed_std,3.1714823,3.0160027
speed_median,0.23609382,0.23648821
speed_p90,2.5412505,2.633034
speed_p99,15.719095,15.284984
speed_max,56.59751,48.192535
speed_iqr,0.79866666,0.83849657
frac_still,0.32337567,0.32412326
frac_slow,0.33238837,0.32757553
frac_med,0.26030937,0.26188725
frac_fast,0.083926566,0.08641398
accel_absmean,0.6255316,0.654687
accel_absstd,2.072304,1.9600165
jerk_absmean,0.55463976,0.5754352
jerk_absstd,1.9550607,1.7724861
zcr_dyaw,0.20179428,0.20593394
zcr_dpitch,0.2242351,0.23908952
spec_entropy,0.62961227,0.62754434
yaw_speed_mean,1.0376283,1.0412662
pitch_speed_mean,0.22840694,0.22238547
yaw_pitch_ratio,4.6789026,4.8959885
pitch_abs_mean,4.614086,4.6098056
pitch_abs_std,5.8314967,5.548872
pitch_abs_p95,15.73685,15.269629
yaw_range_mean,99.855736,98.36866
shot_rate,0.052104253,0.05117144
shots_per_eng,10.004017,9.824917
speed_at_shot_mean,0.6575459,0.5853461
speed_at_shot_std,1.127456,1.0001445
speed_pre_shot_mean,0.6511337,0.6092391
speed_post_shot_mean,0.7123273,0.66630757
settle_ratio,1.0148796,0.9750039
frac_shots_locked,0.33335897,0.39263624
frac_shots_medspeed,0.33715084,0.30136898
prefire_peak_mean,1.4113599,1.3818307
overshoot_mean,0.75381404,0.79648453
xeng_speed_std,0.6646819,0.6601944
xeng_speed_cv,0.60150456,0.59767365
xshot_speed_cv,1.6222898,1.6165384
