feature,cheater_mean,legit_mean,auc
frac_shots_locked,0.392636239528656,0.3313122093677521,0.62979325
frac_shots_medspeed,0.30136898159980774,0.33751770853996277,0.61518975
zcr_dpitch,0.23908953368663788,0.22418402135372162,0.60996975
speed_at_shot_mean,0.5853461623191833,0.6540090441703796,0.6040725
speed_at_shot_std,1.0001444816589355,1.121727705001831,0.579631
speed_post_shot_mean,0.6663075685501099,0.7126584053039551,0.5738675
speed_pre_shot_mean,0.6092391610145569,0.6490060091018677,0.5727795
settle_ratio,0.9750038981437683,1.0154930353164673,0.57080625
speed_max,48.19253921508789,57.042579650878906,0.55446525
speed_std,3.016002655029297,3.1961920261383057,0.55004725
yaw_pitch_ratio,4.895988464355469,4.680181503295898,0.54573025
pitch_speed_mean,0.2223854660987854,0.22999811172485352,0.5454399999999999
prefire_peak_mean,1.3818308115005493,1.4048290252685547,0.5451405
jerk_absstd,1.7724860906600952,1.9730949401855469,0.5352
speed_iqr,0.8384965658187866,0.8007190823554993,0.5334085
speed_p99,15.284984588623047,15.834806442260742,0.5321795
accel_absstd,1.9600164890289307,2.082019805908203,0.5297017500000001
frac_slow,0.3275755047798157,0.33304038643836975,0.52830925
shot_rate,0.0511714406311512,0.05239444226026535,0.52657075
shots_per_eng,9.824915885925293,10.059732437133789,0.52657075
pitch_abs_std,5.548871994018555,5.80954122543335,0.5261275000000001
accel_absmean,0.6546869874000549,0.6295877695083618,0.52191625
yaw_range_mean,98.36865997314453,100.39476776123047,0.5210287499999999
jerk_absmean,0.5754351615905762,0.5586828589439392,0.518509
spec_entropy,0.6275442838668823,0.6297315359115601,0.5175492500000001
xeng_speed_std,0.6601943969726562,0.6694848537445068,0.5173805
speed_p90,2.6330337524414062,2.5653696060180664,0.5167725
xshot_speed_cv,1.616538405418396,1.625563621520996,0.5148775
speed_mean,1.1271123886108398,1.1356327533721924,0.51229125
zcr_dyaw,0.20593394339084625,0.20223596692085266,0.51186975
frac_med,0.26188725233078003,0.26064375042915344,0.51017275
speed_median,0.2364881932735443,0.23753944039344788,0.5096747500000001
frac_fast,0.08641397207975388,0.08470633625984192,0.50928625
yaw_speed_mean,1.0412663221359253,1.0465155839920044,0.5084025
xeng_speed_cv,0.5976736545562744,0.6000639796257019,0.50717675
pitch_abs_p95,15.269628524780273,15.571331024169922,0.50672875
overshoot_mean,0.7964845895767212,0.7508198618888855,0.5062125
frac_still,0.3241232931613922,0.3216095566749573,0.503164
pitch_abs_mean,4.609805583953857,4.5983123779296875,0.50055925
