model,strategy,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,mcc_at_f1max,f1_at_f1max,precision_at_f1max,recall_at_f1max,recall_at_fpr1,precision_at_fpr1,mcc_at_fpr1,fit_seconds
svm,none,0.728,0.0131,0.4317,0.0279,0.3192,0.4403,0.408,0.4782,0.1274,0.7189,0.2586,2.1
rf,none,0.7313,0.0095,0.4259,0.0219,0.3151,0.43,0.4267,0.4334,0.1186,0.7094,0.2466,34.4
svm,class_weight,0.7453,0.0127,0.4246,0.012,0.3263,0.4479,0.4063,0.4991,0.1028,0.6736,0.2198,3.5
xgb,none,0.7303,0.0137,0.4194,0.0265,0.3063,0.4265,0.4087,0.4461,0.1129,0.6992,0.2377,2.2
logreg,none,0.7144,0.0134,0.419,0.0204,0.2946,0.4246,0.3738,0.4915,0.1256,0.7158,0.2557,0.1
xgb,class_weight,0.7272,0.0148,0.4149,0.0205,0.2899,0.4232,0.3606,0.5123,0.1174,0.7072,0.2447,2.4
logreg,class_weight,0.7153,0.0131,0.4108,0.0183,0.2933,0.4243,0.3704,0.4965,0.1161,0.7023,0.2419,0.1
logreg,smote,0.7124,0.0131,0.4106,0.0186,0.29,0.4175,0.383,0.4587,0.1205,0.71,0.2488,0.2
logreg,smote_cw,0.7124,0.0131,0.4106,0.0186,0.29,0.4175,0.383,0.4587,0.1205,0.71,0.2488,0.2
rf,class_weight,0.7342,0.0149,0.4085,0.0246,0.3033,0.4311,0.3821,0.4946,0.0972,0.6784,0.2148,25.3
xgb,smote,0.7026,0.0162,0.3875,0.0289,0.265,0.3982,0.3613,0.4435,0.1003,0.6709,0.2163,2.7
rf,smote,0.7177,0.012,0.3831,0.0257,0.267,0.404,0.3494,0.4789,0.0789,0.6188,0.1788,46.1
rf,smote_cw,0.7177,0.012,0.3831,0.0257,0.267,0.404,0.3494,0.4789,0.0789,0.6188,0.1788,45.9
svm,smote_cw,0.7087,0.0134,0.3712,0.0208,0.2567,0.4015,0.3175,0.5457,0.0757,0.603,0.1712,9.4
svm,smote,0.7087,0.0134,0.3712,0.0208,0.2567,0.4015,0.3175,0.5457,0.0757,0.603,0.1712,9.8
