model,strategy,params,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,mcc_at_f1max,f1_at_f1max,precision_at_f1max,recall_at_f1max,recall_at_fpr1,precision_at_fpr1,mcc_at_fpr1,fit_seconds
svm,none,"{""C"": 2.0}",0.7267,0.0142,0.4345,0.0287,0.3204,0.4401,0.4133,0.4707,0.1338,0.7336,0.2693,2.3
svm,none,{},0.728,0.0131,0.4317,0.0279,0.3192,0.4403,0.408,0.4782,0.1274,0.7189,0.2586,2.3
svm,none,"{""C"": 0.5}",0.7279,0.0134,0.429,0.0287,0.3269,0.4433,0.4257,0.4625,0.1274,0.7214,0.2593,2.0
rf,none,"{""max_depth"": 20, ""min_samples_leaf"": 1}",0.7352,0.0118,0.4264,0.0224,0.2988,0.4274,0.3793,0.4896,0.123,0.7117,0.2519,30.6
rf,none,"{""max_depth"": 20, ""min_samples_leaf"": 3}",0.7355,0.0102,0.4263,0.025,0.3042,0.4285,0.3951,0.4681,0.1224,0.7106,0.251,28.9
rf,none,{},0.7313,0.0095,0.4259,0.0219,0.3151,0.43,0.4267,0.4334,0.1186,0.7094,0.2466,33.9
rf,none,"{""max_depth"": null, ""min_samples_leaf"": 1}",0.7313,0.0095,0.4259,0.0219,0.3151,0.43,0.4267,0.4334,0.1186,0.7094,0.2466,34.0
rf,none,"{""max_depth"": null, ""min_samples_leaf"": 3}",0.7356,0.0109,0.4252,0.0255,0.2964,0.4305,0.3489,0.5621,0.1211,0.7138,0.2505,30.8
svm,none,"{""C"": 8.0}",0.7214,0.0142,0.4238,0.0226,0.3136,0.4353,0.4053,0.47,0.1186,0.7041,0.2451,3.1
rf,none,"{""max_depth"": 20, ""min_samples_leaf"": 5}",0.7331,0.0109,0.4236,0.0248,0.3046,0.4279,0.3987,0.4618,0.1161,0.6996,0.2412,27.5
rf,none,"{""max_depth"": null, ""min_samples_leaf"": 5}",0.7338,0.0108,0.4233,0.0243,0.3031,0.4285,0.3911,0.4738,0.1129,0.702,0.2385,29.2
rf,none,"{""max_depth"": 12, ""min_samples_leaf"": 1}",0.7296,0.0143,0.4197,0.0219,0.2964,0.4218,0.3904,0.4587,0.1186,0.7203,0.2496,22.5
rf,none,"{""max_depth"": 12, ""min_samples_leaf"": 5}",0.7316,0.0111,0.4175,0.0254,0.2808,0.4198,0.3243,0.595,0.1123,0.6926,0.2352,28.5
rf,none,"{""max_depth"": 12, ""min_samples_leaf"": 3}",0.7312,0.0108,0.4173,0.0237,0.2969,0.423,0.3884,0.4644,0.1161,0.705,0.2427,22.2
